CVCL	label
cellosaurus:CVCL_1233	GMS-10
cellosaurus:CVCL_S967	GP202
cellosaurus:CVCL_S968	GP220
cellosaurus:CVCL_2450	GP2d
cellosaurus:CVCL_1235	GP5d
cellosaurus:CVCL_1817	Granta-452
cellosaurus:CVCL_1818	Granta-519
cellosaurus:CVCL_1818	Granta-519
cellosaurus:CVCL_1818	Granta-519
cellosaurus:CVCL_1818	Granta-519
cellosaurus:CVCL_8876	GSS
cellosaurus:CVCL_8877	GSU
cellosaurus:CVCL_1238	H-EMC-SS
cellosaurus:CVCL_L296	H-STS
cellosaurus:CVCL_D788	HAL
cellosaurus:CVCL_8226	HANK1
cellosaurus:CVCL_4213	HBL-1 [Human diffuse large B-cell lymphoma]
cellosaurus:CVCL_M574	HBL-2 [Human AIDS-related non-Hodgkin lymphoma]
cellosaurus:CVCL_M172	HC-AFW1
cellosaurus:CVCL_2917	HCC-56
cellosaurus:CVCL_2917	HCC-56
cellosaurus:CVCL_3374	HCC1007
cellosaurus:CVCL_1244	HCC1008
cellosaurus:CVCL_1244	HCC1008
cellosaurus:CVCL_1244	HCC1008
cellosaurus:CVCL_1244	HCC1008
cellosaurus:CVCL_1244	HCC1008
cellosaurus:CVCL_1244	HCC1008
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
cellosaurus:CVCL_1245	HCC1143
